Word,ABBR,pronunciation,Meaning
آبده, ا, بِ- دَ , ډَل. آبِدَه باښ ښه يومه الا که پېډنگاو معنا ډَل او- نام تَيي اوېناشي شته ډَل ښه تچاشت.| نام تَيي اوینَشۉݩnāmtai oi našũ  منار-آبده یاد گاری اعمار نمودن- منار یاد گاری ساختن.
آب دهن ,ا, بِ- دَ, لؤښټیک- سَسؤک- سی آو ته آش که اېاس.
آبدیده, ص, , ترپْله بۊسته- آو ډَنگي شته لَتري.اصطلاح که گي زحمت وڙݩته ستو ښه-أگوش پَگوش بۊستو ښه تچاست.
آب دیده , ص, بِ- دِ, اؤښؤک- اچېݩ به آو.
آبراهه , ا, هَ, آوا- سی کݩټه ته تَشو که آو گېاس- آو به پۉݩت.
آب رو , ا, رَ, آوا- آو به پۉݩت- آو گېاس ټاو-کݩټه- آو به سَرکْن.
آبرو , اصط, رَ, دار-میلته- عزت- اعتبار- قدر.
آبرو دار ,اصط,, دار اوده-میلته اوده- عزت اوده- شرف اوده.| کلمه میلته به معنای آبرو-عزت- زیبایی بوده- اما قبل از اسلام به معنای روح نیاکان مورد استعمال بوده است. درهر گونه مراسم نیایش وقربانی از آنها برای حضور دعوت نموده و از روح شان مدد طلب می کردند.مردم کلښه باور داشتند که روح نیاکان باتور شان(میلته) زنده بوده- همچنان نیرومند می باشند.
آبرومند , ص, مَ, دار اوده-میلته اوده- عزت اوده- قدر اوده .
آبریز , ا, , سی ټاو ته سېوۋی آو اۉ اېاس-آو اۉ اڅلي.
آب زر , ا,, سون به آو.
آبزه-آبِ زه ,ا, بِ- زَ, بېردۉ- آو بېر پۉټۉݩ- باڼي به وَشتوک ترَکْن کۍ گي ډؤس که آو بېر پۉټَلو ښه تچاست.
آبزی,ص,, آو مَېݩ پا تیله پؤک اوداݩ ښه تچاست.مثلاً مڅه.
آبستن - آبسته , ا- ص, بِ- تَ , گاݩلي-جیت با- مۊشېݩ به أکؤڅ تَنمَنه گرۉݩټاݩۉݩ- مۊشیݩ به ی ایشترکي چَتَه کؤراݩ به أکؤڅ نُطفه گرۉݩټاݩۉݩ.
آب سیاه , ا, بِ- سِ , اچېݩ به آهسته آهسته-به مرور زمان-گام به گام. اېک دؤک به نام او. تَشو میلي اچېݩ بۉت بۉتې ښېړه بیاس. | بۉت بۉتېbut bute 
آبشار , ا, بْ , اۉ اڅلي آو- اۊتله ټاو به اۉسَلَلَه آو-ښه تچاست.
آبشخور , ا, بِ- وَ, آو اويچۉݩ ټاو- ښا منښه آو پیۉݩ ټاو- ښاݩ آو پیۉݩ ټاو-آو تاݩ.
آب شدن,مص,,ویلۉݩ- ککړه بۊ لَتري تَپیک اتر ډَنگي ته ویلیاس. اصطلاح که لَجاره بۉݩ ښه دي تَچاݩ گېاس.
آب شناس , ا- ص, شِ, سی منښ ښه تچاست ته سی بؤم کۊۋ پۉ اوړي آو زڙݩاس- سی منښ ته يوۋ آو اوړه ته نَۍ که زڙݩاس. | کۊۋ köv بیخ- ریشه- ړتحت- زیر- پایین. 
آب شیر گرم , ص,,تپیک آو.
آب صاف ,ص, بِ, پْرَس آو- پرَسې شتیک آو.
آب فشرده , ا- ص, بِ- فِ-  شُ, ترڙاݩ گو آو- تروس تینه آو- شی تینه آو.
آبکار-آب کار , ا- ص,, آو سار- سی منښ ته اما اما آو گۉرگېاس.سقاء.
آب کردن , مص,, ویلَوُݩ- آو ایچۉݩ- ککړه ټؤک آو که کَۍ گي تَپاو ویلَوُݩ.
آبکش , ص- فا, بْ- کَ, آو اويښَوَله- کۉيي که آو اويښَوَله جن- ښه تچاست. | کۉیي kuii چاه- چاه آب.
آبکش کردن ,مص, کَ, څَلَنگۇݩ-باڼي پۊلې پَتاریېݩ آو څَلَنگۇݩ- ښه تچاست.
آب کشیدن .,مص, , آو اويښَوُݩ- کۉیي کۍ اۉتل ټاوې آو اویښَوُݩ
آبکي , ص, بَ, آو پْرؤ- آو به پْرؤسته.
آبگاه , ا, بْ, آو اوده ټاو.
آب گرم , ص,, تَپیک آو- تَپي شته آو- تَپې شته آو.
آب گرم کن , ا,, آو تَپوُله لَتري- سُوي کۍ برق میلي آو تَپوُله- آو اؤښَوَله ټؤک ښه تچاست.
آب گرفتن ,مص,, آو څۉ اۉݩ-آو اویچۉݩ- ڇو آو څۉ اۉݩ.| ڇو c̣o زخم- جرح.
آب گوشت , ا- ص, بِ- شْ, سؤوي- انا به سؤوي - انا به آو.
آبگون , ص,, آو به پْرؤ- آو به پْرؤسته.
آبگیر , ا,, ازا- سی ټاو ته سېوۋ آو اېښېي بیاس-آو سؤتله ټاو.
آبگین ,ص,, څړنگه- څړنگه سته-څړنگه ټؤک ښه تچاست.
آب گینه , ا, , شیشه- بلور.
آبله , ا, , آو موڙکیک-سی ته دېج بۊ ټاو آو بېر اِی اپؤساس- کوي کوڙݩ ته دوشت آو موڙکیک بیاس.
آبله , ا,, پۉړه- تنمناݩ به جیت که بېر باله دؤک ښه تچاست. وَسېي دي سکه دؤک بیاست.
آبله گون , ص,, پۉړو پْرؤسته-آو موڙکیک به پْرؤسته.
آب مروارید ,ا, بِ- مُ, کشره آو- اچېݩ به دؤک به نام او. سی گی گݩتاݩ گو ته- شکر دؤک به- کي گي دۊښټۊ بار به أمؤک اېاس. | أمؤک اڅۉݩ a-mük acũ- رخ دادن- به میان آمدن- پیدا شدن-روبه رو شدن.
آب معدنی , ا- ص, مَ- دَ , سی آو ښه تچاست سی پیۉݩ ښه بوسته آو وڙ. تَشو که معدنی لَتري تیاست. | لَتري latri  ماده- مواد- جنس-شی.
آب مقطر , ا, بِ- مَ- طَ, سی آو ښه تچاست ته اۊله سته بۉتل که اؤښاو بېرښېاست- تَشو اَرؤ دَرؤ که چېري ایچاست. | چېريčeri  – کارآمد- استعمال- کاربرد. | اَرؤ دَرؤ arü darü– تداوی- علاج - معالَجه.ۊله سته بۉتل که اؤښاو بېرښېاست- تَشو اَرؤ دَرؤ که چېري ایچاست. | چېريčeri 
آب و خاک ,ق,, آو- ی پَلال.
آب و گل ,ق, گِ, آو - ی ترپله.
آب وهوا ,ا,, دارسؤدار-سُوي واښ- سُوي واښ به مېله- اېک ټاو به تَپي -  ی- شېلیوان -  ی یوز ښه تچاݩ گېاس.
آبی , ص,, آو به- اَډنگ تِی لَتري یا پؤک اوداݩ ښه تَچاݩ گېاس ته- تي آو مَې پا تياست.
آبی ,ا,, نیله- نیله ږۉۋ-نیله ږۉۋ اوده سته- نیله سته.
آبیار ,ص- فا,, آو دَتله- سی اۉړته کۍ مۊشي ته آو دَتیاس.
آبیاری , ص, , آو دَتۉݩ- تول-باغ آو دَتۉݩ- ښه تچاست.
آپارتاید ,انگ,, لو وېپه سْکوُݩ- لو زْگوُݩ- تبعض نژادی. | لو lo - نسل- نژاد.| زْگوُݩzgəw̃ - جدا کردن-ازهم دور ساختن.
آتش ,ا, تَ- شْ,اڙݩ- سی اڙݩ ته دۊۋ دیج بی چمیاس- سی ته دۊۋ- انگریک دېج بي چَمیاس؛ سی گي تَپيکې ویاݩس اودسته او.اېک اصطلاح او:  اڙݩ أښېي دتﯢݩ.
آتش افروختن , مص, تَ- شْ- فْ, اڙݩ چَمَوُݩ- اڙݩ دَتۉݩ-اڙݩ پۉکڅَوُݩ- اڙݩ تَوُݩ.
آتش افروز , ا- ص, تَ- شْ- فْ, اڙݩ پَݩي- سی لَتري ته تَشو میلي اڙݩ چَمېاست-اڙݩ چَمَوَله- سی مجبي ته اڙݩ دَتیاس کۍ اڙݩ تېاس.
آتش افروزی , ا- مص, تَ- شْ- فْ, اڙݩ تَوُݩ- اڙݩ دَتۉݩ- اڙݩ پۉکڅَوُݩ.
آتش انداز,ا- ص, تَ- شْ, اڙݩ تَوَله .اصطلاح که گی پاد-دَمجال اؤجؤݩجوَله جن ښه تچاست. | پاد pād - دعوه-مشکل. | دَمجال damjāl -  مشکل- نِزاع.
آتشبازی,ا- مص, تَ- شْ, ښنگرۉݩ واس کي اؤرنگه بوي واس اۉښېي به کوڙݩسته لَتري اپراشتی اوينشي اؤټلاو اڙݩ وېاݩس ایچاست. | اۉښېيuṣei -  باروت. 
آتش بس , اصط, تَ- شْ- بَ, ښوچ بَۍ ایچۉݩ- وَراښ نه بېرتَوُݩ.اي باښ به لغوي معنا اڙݩ بَۍ ایچوݩ او-اصطلاحي معنا گي ښوچ بَۍ ایچۉݩ او. | وَراښ warāṣ تفنگ.| لۉ وراښ lū warāṣ -  تفنگ آهنی.
آتشپاره ,ا, تَ- شْ, اڙݩ پؤش. کلښه څټَکه تنمناݩ ښه اڙݩ پؤش او- تچاست.
آتش پرست , ا- ص, تَ- شْ- پَ, تی مجبي- تی گولیݩ ښه تچاست ته- تی اڙݩ پَرړیاست. امیداسته گوليݩ ښه زردشتی تچاست. سکه داسته دین اوده مجبي ایران - ی هندوستان که اوت.
آتش پرستی , ص, تَ- شْ- پَ, اڙݩ پَرَړۉݩ ښه تچاست.سکه دین به ماچمَتره- اڙݩ پَرړیاست. سکداسته دین ښه زردشتی دین تچاست.
آتش خو ,ص, تَ- شْ, أجیته- أجیته سته- نه سَېۉݩ سته.ناسازگار.
آتش دان ,ا- ص, تَ- شْ, اڙݩ تاݩ- اڙݩ دَتݩ- سې ټاو ته سېوۋ اڙݩ دَتیاست.
آتش زا , ص, تَ- شْ, اڙݩ چَمله سته- چَمله سته-دیۋ پْرؤ چَمله سته.
آتش زبان,ص, تَ- شْ- زَ,کلښاݩ به اصطلاح که- چَماس جيپ اوده- تچاست.
آتش زدن , مص, تَ- شْ- زَ, اڙݩ تَوُݩ- اڙݩ پۉکڅَوُݩ.
آتش زنه , ا, تَ- شْ- زَ, اڙݩ پَݩي- درڙݩ که چیمه ککړاو وینو ته اڙݩ پؤش ټیکیاس. | ټیکۉݩ ṭikũ - جستن-پریدن.
آتش سوزی , ا- مص, تَ- شْ, دېج بۉݩ- لؤښته بۉݩ- اڙݩ اویچۉݩ.
آتش فام ,ص, تَ- شْ , اڙݩ پْرؤ- اڙݩ پْرؤسته.
آتشفشان ,ص, تَ- شْ- فِ, سی دا ښه تچاست ته تَشو که اڙݩ پْرؤ ویلي شته لَتري اوي پَلېاس.
آتشک ,ا, تَ- شَ, دراس به -  ی - یۉس مؤټو به دؤک به نام او.کلښه تَشو ښه اسه نیشنه تچاست.
آتشکده ,ا, تَ- شْ- کَ, زردشتي دین اوده ماچمَتراݩ به نَمَچ اما به اڙݩ تاݩ ښه تچاست.
آتش کردن , مص, تَ- شْ, اڙݩ دَتۉݩ.
آتشگاه , ا, تَ- شْ, اڙݩ تاݩ-اڙݩ دَتݩ- اڙݩ به ټاو.
آتش گرفتن ,مص, تَ- شْ, اڙݩ چَمۉݩ- اڙݩ اویچۉݩ- کۉݩ که اڙݩ وېچۉݩ.
آتشگون ,ص, تَ- شْ- گ, اڙݩ پْرؤ- اڙݩ پْرؤسته.
آتشگیر ,ا, تَ- شْ- گ, پۉڙ دَمۉسته لَتري به نام او.
آتش مزاج , ص, تَ- شْ- مِ, أجیته- نه سَېۉݩسته - تُندخو.
آتش نشان ,ص- فا, تَ- شْ-  نِ, اڙݩ دېشوَله-اڙݩ دېشوَله جن.
آتش نشاندن , مص, تَ- شْ- نِ, اڙݩ دېشَوُݩ.
آتش وار , ص, تَ- شْ, اڙݩ پْرؤ- اڙݩ پْرؤسته.
آتشه , ا, تَ- شَ, پرَبۉي.
آتشی , ص,-  [تَ- شِ, اڙݩ به.
آتشین , ص, , اڙݩ به- اڙݩ اوده سته- اڙݩ پْرؤسته.
آتمسفیر ,انگ,, سی دارسؤدار ښه تچاست ته تَشو بؤم پۉنډره اۉ تَنگې شته او. بؤم پۉنډرو به کڙݩ کڙݩ سکه دارسؤداره او. | اۉتَنگوُݩ utaŋəw̃ - احاطه کردن-محاصره کردن-زیر گرفتن. | دأسؤدار dārsüdār -  هوا-فضا.
آتي , ا,, اڅله-اڅله مېله-اڅله گېړي.
آثار , ج,, چیترېشته کتاب-مقاله- کؤر پو-پا پو- پا به پو.
آچار ,ا,, کان میلي يوݩسته ټؤک او. سی چؤکرله سته تیاس- تُرشی. | چؤکرلهčükərlə  – تُرش. | کان kān - غِذا.  
 آخته,ا- ص, تَ,پول بېرښې شته- ښۉݩټه- سی اۉړته کۍ نڙ سته چَته کؤره ته- تَشو به پول بېرښې شته او.
آخته چي ,ص- فا,, ښۉݩټه ایچَله-پول بېرښوَله- سی جن ته پول بېرښېاس.
آخذ ,ص- فا, خَ, وېچَله- کۉمه أدوشتې وېچَله.
آخر, ص, خَ, پَتاري- اَډنگ که پَتاري-سال پَتاري- پَتاريېݩ.
آخر ,ق, خَ,أنَشت -سال پَتاري-اټَک.
آخرالامر, ق, خَ- رُ, سال پَتاري- پَتاري کویدؤم.
آخرالزمان ,ا, خَ- رُ- زَ, دنیا به سال پَتاري گېړي.
آخرت , ا,[خَ, سېک دیبؤم-قیامت. | دیبؤمdi büm – دنیا-زمین وزمان.|دي di– آسمان(فشرده کلمه دیلو است). بؤم büm- زمین.
آخرکار,ص, خَ, کویدؤم به أنَشت- کویدؤم به پَتاري نَشته.
آخری ,ق, خَ, پَتاري- سال پَتاري.
آخرین ,ق, خَ, پَتاري- سال پَتاري- سَپروک که پَتاري.
آخور , ا,, وار- گاوار- وَڅَله وار- گاکؤر به یۉس دَتݩ -گاکؤر یۉس دَتۉݩ ټاو-ښه تچاست.
آخوند , ا- ص, , مُلا- مذهبي منښ.
آداب ,ا- ج,, چار- وېښ-اوشتیک نیشیک به چار وېښ- ږَن.
آدرس ,ا, رَ, سؤمَن- نیښټان.
آدم ,ا,, اللّه (ج)سَپروک که نؤشت گاړي ماچ ښېي به نام او. نؤشتپرېن ماچ ښېي- اَډنگ ماچمَتراݩ به تَته. | ماچ ښېي māčṣei– آدم-انسان. | ماچمَتره māč matrə– انسان ها - آدم ها.
آدم خوار,ص,, منښ ڇَڇله.تی مجبي ته ماچمتراݩ ڇَڇاست.
آدمیت ,ص, مِ- یَ, منښ اۉل. منښ اۉل به باښ مورگنسترنه منښ يۉل چیترېشته او. یې بتیام ته سکه باښ منښ اۉل او. معنا که دي منښ اۉل أکۍ نَشۉݩ سته بیاس. انسانیت باښ ښه- منښ لو تکوڙݩ ته دي پَلټاو نه او. | پَلټَوُݩ paltəw̃- غلط کردن- اشتباه کردن. | منښ اۉلmanəṣ ūl  – انسانیت- آدمیت- بشریت. | اۉل  ūl– خواص- عادت- خاصیت- خاصیت خانواده گی-عادت خانواده گي .
آدمی زاده ,ص,, منښ به اۉپۉجي شته.
آدینه-آدینه روز ,ا,,اگڙ- اگڙ واس.
 آذان,ع, , سؤم پْرۉݩ- نَمَچ گېړي سؤم پْرۉݩ- ښه تچاست
آذر ,ا, دَ, اڙݩ- سی ټؤک ته دېج ایچاس- تَپېاس.
آذرپرست ,ص- فا, ذَ, اڙݩ پْرَړَله.
آذرخش , ا, ذْ- رَ- خْ, وین- پرَبۉي- پرَبۉي پَلک.
آذری,ص, ذَ- رِ, اڙݩ به.
آذری,ص, ذَ- رِ, آذربایجان گول به.
آذوقه,ا,, اۉݩس- سی اپیلوک اون ښه تچاست ته -ویدېش اۉݩ میلي- کي گي أشال ښه گۉرگېاست. | اون on– مواد خوراکه-مواد غذایی.
آذین ,ا,, ډَوَل-سَنک-سَݩکاݩۉݩ.
آرا ,ا,, سݩکاݩۉݩ.
آراء , ع,, بینَن- بَتَن- رای- اۉټ.
آراستن ,مص, تَ, سَݩکَوُݩ- بېستَۍ کرَۇݩ- ډَوَل ایچۉݩ-بوشتیک ایچۉݩ- بوسته که سَمڙۉݩ-سَمانَه کرَۇݩ- سَمانَه ایچۉݩ-تاتېي ایچۉݩ- اینیک بینیک ایچۉݩ.
آرام ,ا- ص,, سؤک- سؤک که- لوس که- اؤښکؤل- سُؤوار-ڇا نه اوده- ڇاباس نه ایچَله سته-ډۊره سته-وَکته- وَکته سته. | ډۊره ḍörə– به معنای آرام- بی غل وغش. این کلمه بیشتربه اطفال آرام استعمال می شود.| وَکته waktə– آرام- بی سروصدا. کلمه وَکته بیشتر به اطفال کوچکِ آرام به کار برده می شود. | سؤک sük– یک اصطلاح کنایه امیز است:  تۉسؤک او؛ معادل همان اصطلاح تو بیکار هستی-زبان دری می باشد.
آرام بخش ,ص, مْ- بَ, سؤک کرَوَله- دېولو جَپَوَله سته-اؤښکؤل کرَوَله سته. | جَپَۇݩ japəw̃– آرام ساختن- فرو نشاندن درد.| جَپَوَله سته japəwələ stə– آرامش بخش-آرام کننده- فروکش کننده.
آرام چوکی ,ا- ص, چَ, اۊله نیشڙݩ- سی نیشڙݩ ته تَشو که کي نیشَنو ته سؤک بیاس. کلښاݩ به ښنگ نیشڙݩ تَچیک.
آرام ده , ص فا, دِ, سی دَرؤ ته دېوَلو نیشېاس- سی دَرؤ ته دېوَلو جَپېاس.
آرام ساختن ,مص,,چیشتَۇݩ-ابرڙ کرۇݩ- جپَۇݩ-ڇاڇا نه کرۇݩ.
آرام شدن ,مص, شُ,لوس که اۉݩ- لوس بۉݩ- اؤښکؤل بۉݩ- سؤک بۉݩ- چیشتۉݩ.
آرامش ,ا, مِ, سؤک- لوس- اؤښکؤل- سُؤوار- وام.
آرامشگاه ,ا, مِ, سؤکې تيۉݩ ټاو- سؤک ایچؤݩ ټاو-کؤر بور که تیۉݩ ټاو-سُؤوار ایچۉݩ ټاو- لوس که تیۉݩ ټاو.
آرام شدن ,مص,, چیشتَۉݩ-ڇا باس نه ایچۉݩ-ڇا نه -  ی نیشۉݩ.
آرام کردن ,مص,, چیشتَوُݩ-ڇاڇا نه کرَوُݩ-ڇا نه کښَۇݩ.
آرامگاه , ا, مْ,سؤک بۉݩ ټاو. مجازي معنا گي گۉرتني او.
آرام گرفتن , مص,,سؤکې نیشۉݩ- ڇاڇا نه -  ې نیشۉݩ- چیشت بۉݩ.
آرام نشستن , مص, نِ, سؤېݩ نیشۉݩ- ڇا نه -  ی نیشۉݩ- چیشت بي نیشۉݩ.
آرامی , ص,, سؤک- سؤک بار- لوس- لوس پوس-سُؤوار بار-وام.
آرامی , ص,, سام بن نوح به اۉپۉجي شته.سامي نژاد به ماچمَتراݩ ښه تچاست . عرب -  ی یهود سامی نژاد اوت.
آرام یافتن , مص,, سؤک لَوُݩ- لوس که تیۉݩ- سُؤوار که تیۉݩ.
آرامیدن- آرمیدن , مص,, سؤک بۉݩ- سؤک که بۉݩ- لوس که.
آرایش ,ا,یِ, سَمانَه- بېستۍ- سَݩکۉݩ- سَݩکاݩۉݩ-سَنکَۇݩ-ډَوَل.
آرایش کردن ,مص, یِ, سَمانَه ایچۉݩ- سَݩکاݩۉݩ-جیت سَݩکَۇݩ- ډَوَل بۉݩ.
آرایشگاه , ا, یِ ,سَݩگاݩۉݩ ټاو- سَنکولي ټاو- سی ټاو ښه تچاست ته مۊشي سَنگاݩۉݩ ښه اتۉ گېاست.
آرایشگر , ا- ص, یِ- گ, سَݩکوَلي (مو)- سَݩکوَله (مذ).
آرتیست,ص- انگ,,چَوېر چیتروَله- رسم پاتیوَله- ناټ کره- اکه داسته کویدؤم ایچیلاݩ ښه آرتیست تچاست.فارسی الا که گي هنرمند تچاست.
آرد , ا, رْ, بْرېي- دۊښېي کۍ وَݩجل که گۉم-کاڅ- جؤوار به پیشي شتو ښه تچاست.
آرزو ,ا, رْ, اَي- کسؤ ښه بۊړي ته بَتۉݩ- بؤړو که اوي آسته- بیني شته- بؤړېݩ بَتي شته.
آرزومند , ص, رْ- مَ, اَي اوده-آښ اوده-آښ ایچله- کسؤ ښه اَي اوده- کۍ کسؤ ښه بینیاسته.
آرشیف- آرشيو ,انگ,, سی ټاو ته سِېوۋ دولت به کي اؤرنگه اِدارات به مهم اسناد پَړاو تَيي شته اوت.
آرم,انگ, رْ, پَڼه-نیښټان- دولت به خاص پَڼه یا نیښټان -سی نیښټان ښه تچاست ته کاغذ که پاتیاݩ گېاس. | پَڼه paṇə– نشان- علامه.
آرمان ,ا,,کټَچ- بؤړه بَتیاسته- بؤړو که اوي آسته. آرمان باښ ښه کټَچ پېډنگاو معنا او.
آرمیدن ,مص, مِ, سؤک بۉݩ-لوس که اۉݩ.
آرنج ,ا, رَ, اږَه- دوشت به اږَه.
آروغ ,ا,, ډْرا- سی ڇا ته وَرښه بۊ ته آش که بېر اېاس.
آری-بلی, ,, اییاiyā .
آریا ,ا,, آریایي گولیݩ به لو اوت. تی نؤشت بلخ که اوړیت. سېوۋی مَټاݩ گی دوش مَټه هندوکش دا که تَري اۉتیاݩ اۉ آت. تېݩس کنی اېک مَټه الینا نام اوده نورستاني به نؤشتره تَته اېلته اوړیت. تې دوش مَټو کنی مهابهارت نام اوده- اېک مَټه گي هندوستان ډَنگي. (اؤرنگه مېلو - فرهنگ زبان نورستانی(کلښه الا) به مقدمه تریۉم مؤک که مترېݩ)
آریانا,ا,, آریانا افغانستان به نؤشتره نام او. آریایي گولېݩ به گول. | گول gol – وطن- مملکت.| گولې goli – مردم- خلق- هموطن.
آریانه - آریا ,ا,, هرات به نؤشتره نام او.
آریایي ,ص,, آریانا گول به ماچمَتره- آریانا گول به مجبي- آریانا به گولي.
آریک,ار, یِ,هندوآریایی الا ښه تچاست.
آرین ., ص,, آریایی- آریایي مجبي- آریایي منښ-آریانا گول به منښ
آز ,ا, زْ, اَي- بؤړه بَتي شته.
